cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
68,68,1,1.40625,0.0104166666666667,1,20,20,0.910039272444395
69,69,1,1.42708333333333,0.0104166666666667,1,24,24,0.928415636673844
70,70,1,1.44791666666667,0.0104166666666667,1,26,26,0.946882302422447
71,71,1,1.46875,0.0104166666666667,1,18,18,0.965434660759356
72,72,1,1.48958333333333,0.0104166666666667,1,22,22,0.984068391853009
73,73,1,1.51041666666667,0.0104166666666667,1,16,16,1.00277944430576
74,74,1,1.53125,0.0104166666666667,1,16,16,1.02156401606646
75,75,1,1.55208333333333,0.0104166666666667,1,16,16,1.0404185368028
76,76,1,1.57291666666667,0.0104166666666667,1,18,18,1.05933965162242
77,77,1,1.59375,0.0104166666666667,1,24,24,1.07832420603849
78,78,1,1.61458333333333,0.0104166666666667,1,17,17,1.09736923208295
79,79,1,1.63541666666667,0.0104166666666667,1,23,23,1.11647193547699
80,80,1,1.65625,0.0104166666666667,1,24,24,1.13562968377535
81,81,1,1.67708333333333,0.0104166666666667,1,25,25,1.15483999540683
82,82,1,1.69791666666667,0.0104166666666667,1,26,26,1.17410052953994
83,83,1,1.71875,0.0104166666666667,1,21,21,1.19340907670755
84,84,1,1.73958333333333,0.0104166666666667,1,17,17,1.21276355013016
85,85,1,1.76041666666667,0.0104166666666667,1,18,18,1.232161977682
86,86,1,1.78125,0.0104166666666667,1,21,21,1.25160249444866
87,87,1,1.80208333333333,0.0104166666666667,1,22,22,1.27108333582939
88,88,1,1.82291666666667,0.0104166666666667,1,16,16,1.29060283114072
89,89,1,1.84375,0.0104166666666667,1,18,18,1.31015939768187
90,90,1,1.86458333333333,0.0104166666666667,1,14,14,1.32975153522557
91,91,1,1.88541666666667,0.0104166666666667,1,27,27,1.34937782090093
92,92,1,1.90625,0.0104166666666667,1,19,19,1.36903690443782
93,93,1,1.92708333333333,0.0104166666666667,1,15,15,1.38872750374465
94,94,1,1.94791666666667,0.0104166666666667,1,31,31,1.40844840079372
95,95,1,1.96875,0.0104166666666667,1,23,23,1.42819843779077
96,96,1,1.98958333333333,0.0104166666666667,1,17,17,1.4479765136067
97,1,2,0.0104166666666667,0.03125,1,23,23,0.55780410354156
98,2,2,0.03125,0.03125,1,27,27,0.542912607362388
99,3,2,0.0520833333333333,0.03125,1,22,22,0.52834859664981
100,4,2,0.0729166666666667,0.03125,1,30,30,0.514134635634351
101,5,2,0.09375,0.03125,1,26,26,0.500294788789975
102,6,2,0.114583333333333,0.03125,1,14,14,0.48685465265123
103,7,2,0.135416666666667,0.03125,1,14,14,0.473841367239134
104,8,2,0.15625,0.03125,1,22,22,0.461283601179321
105,9,2,0.177083333333333,0.03125,1,17,17,0.449211503846427
106,10,2,0.197916666666667,0.03125,1,20,20,0.437656617263507
107,11,2,0.21875,0.03125,1,22,22,0.426651740141747
108,12,2,0.239583333333333,0.03125,1,18,18,0.41623073650974
109,13,2,0.260416666666667,0.03125,1,22,22,0.406428282020553
110,14,2,0.28125,0.03125,1,11,11,0.397279542413964
111,15,2,0.302083333333333,0.03125,1,26,26,0.388819780909159
112,16,2,0.322916666666667,0.03125,1,10,10,0.381083894616904
113,17,2,0.34375,0.03125,1,15,15,0.374105884401309
114,18,2,0.364583333333333,0.03125,1,14,14,0.367918267859599
115,19,2,0.385416666666667,0.03125,1,18,18,0.36255145091252
116,20,2,0.40625,0.03125,1,22,22,0.358033079399324
117,21,2,0.427083333333333,0.03125,1,20,20,0.354387397363987
118,22,2,0.447916666666667,0.03125,1,11,11,0.351634642611324
119,23,2,0.46875,0.03125,1,23,23,0.349790511824153
120,24,2,0.489583333333333,0.03125,1,21,21,0.348865726455287
121,25,2,0.510416666666667,0.03125,1,19,19,0.348865726455287
122,26,2,0.53125,0.03125,1,27,27,0.349790511824153
123,27,2,0.552083333333333,0.03125,1,15,15,0.351634642611324
124,28,2,0.572916666666667,0.03125,1,19,19,0.354387397363987
125,29,2,0.59375,0.03125,1,18,18,0.358033079399324
126,30,2,0.614583333333333,0.03125,1,13,13,0.36255145091252
127,31,2,0.635416666666667,0.03125,1,18,18,0.367918267859599
128,32,2,0.65625,0.03125,1,9,9,0.374105884401309
129,33,2,0.677083333333333,0.03125,1,29,29,0.381083894616904
130,34,2,0.697916666666667,0.03125,1,18,18,0.388819780909159
131,35,2,0.71875,0.03125,1,20,20,0.397279542413964
132,36,2,0.739583333333333,0.03125,1,27,27,0.406428282020553
133,37,2,0.760416666666667,0.03125,1,22,22,0.41623073650974
134,38,2,0.78125,0.03125,1,21,21,0.426651740141747
135,39,2,0.802083333333333,0.03125,1,26,26,0.437656617263507
136,40,2,0.822916666666667,0.03125,1,24,24,0.449211503846427
137,41,2,0.84375,0.03125,1,7,7,0.461283601179321
138,42,2,0.864583333333333,0.03125,1,17,17,0.473841367239134
139,43,2,0.885416666666667,0.03125,1,28,28,0.48685465265123
140,44,2,0.90625,0.03125,1,32,32,0.500294788789975
141,45,2,0.927083333333333,0.03125,1,23,23,0.514134635634351
142,46,2,0.947916666666667,0.03125,1,25,25,0.52834859664981
143,47,2,0.96875,0.03125,1,12,12,0.542912607362388
144,48,2,0.989583333333333,0.03125,1,9,9,0.55780410354156
145,49,2,1.01041666666667,0.03125,1,10,10,0.573001974103329
