x_center,y_center,ux,uy,count,omega
0.456875,0.0003125,0.287607,0.207065,24,-118.093
0.458125,0.0003125,0.348112,-0.224771,16,-398.697
0.459375,0.0003125,0.436251,-0.245034,24,352.008
0.460625,0.0003125,0.208262,-0.0230782,25,-117.574
0.461875,0.0003125,0.67515,-0.0311223,21,48.9523
0.463125,0.0003125,0.514264,-0.243391,20,-320.125
0.464375,0.0003125,0.406522,-0.00759446,21,145.712
0.465625,0.0003125,0.259997,-0.0449668,17,527.516
0.466875,0.0003125,0.4544,0.016894,19,-284.219
0.468125,0.0003125,0.280008,-0.181666,14,-29.6531
0.469375,0.0003125,0.254654,0.460384,7,50.1819
0.470625,0.0003125,0.425608,-0.101272,17,-146.399
0.471875,0.0003125,0.444697,-0.290727,22,-66.5807
0.473125,0.0003125,0.613554,0.00957705,23,285.544
0.474375,0.0003125,0.39427,-0.053608,30,-169.041
0.475625,0.0003125,0.460998,-0.0890498,22,-134.41
0.476875,0.0003125,0.489516,-0.0819246,14,18.4316
0.478125,0.0003125,0.525142,-0.311677,15,47.7578
0.479375,0.0003125,0.274708,0.0102248,19,-30.7335
0.480625,0.0003125,0.516788,-0.42158,20,26.0377
0.481875,0.0003125,0.63465,-0.0514914,23,119.001
0.483125,0.0003125,0.311309,0.0352101,26,6.28876
0.484375,0.0003125,0.49188,0.165358,22,-12.7194
0.485625,0.0003125,0.436998,0.100576,20,-190.369
0.486875,0.0003125,0.567776,-0.116074,17,349.865
0.488125,0.0003125,0.418012,0.210281,23,-145.943
0.489375,0.0003125,0.166818,-0.286265,11,-96.5953
0.490625,0.0003125,0.660151,0.169214,21,134.706
0.491875,0.0003125,0.457321,0.0803163,12,-21.4388
0.493125,0.0003125,0.456494,0.013624,21,63.7621
0.494375,0.0003125,0.505817,-0.0775573,21,170.855
0.495625,0.0003125,0.507009,0.116625,26,23.7058
0.496875,0.0003125,0.630293,-0.0834489,22,-136.779
0.498125,0.0003125,0.45213,0.144452,19,343.906
0.499375,0.0003125,0.316189,0.306842,24,-61.3149
0.500625,0.0003125,0.38632,-0.0129019,19,-379.897
0.501875,0.0003125,0.631588,-0.105345,20,204.508
0.503125,0.0003125,0.506778,0.24476,21,225.548
0.504375,0.0003125,0.387351,0.00762308,28,96.5182
0.505625,0.0003125,0.507168,0.0781915,27,-32.7688
0.506875,0.0003125,0.454399,0.358949,20,24.3636
0.508125,0.0003125,0.310748,-0.11021,31,220.808
0.509375,0.0003125,0.625751,0.186568,15,-75.4822
0.510625,0.0003125,0.34988,-0.149871,17,-108.745
0.511875,0.0003125,0.205566,-0.124011,12,8.3263
0.513125,0.0003125,0.414988,-0.116436,23,30.236
0.514375,0.0003125,0.510749,-0.136588,20,-282.74
0.515625,0.0003125,0.49397,-0.106112,22,170.831
0.516875,0.0003125,0.431817,-0.127985,17,288.608
0.518125,0.0003125,0.520796,0.147967,17,452.225
0.519375,0.0003125,0.328519,0.407783,19,-0.401223
0.520625,0.0003125,0.347926,0.136955,18,-46.551
0.521875,0.0003125,0.375429,-0.18756,22,-346.41
0.523125,0.0003125,0.235419,0.143088,19,178.569
0.524375,0.0003125,0.759139,-0.00323232,18,159.534
0.525625,0.0003125,0.410629,-0.109041,17,-82.7083
0.526875,0.0003125,0.638575,-0.0715413,22,-27.6273
0.528125,0.0003125,0.52749,-0.0658443,24,7.20236
0.529375,0.0003125,0.645962,-0.0981046,28,159.331
